spec,hv_original,hv_morl_cosine,hv_improvement,sparsity_original,sparsity_morl_cosine,front_size_original,front_size_morl_cosine
1,329089.6596867921,995701.3746655101,666611.714978718,0.0,177.1079387623788,1.0,7.0
2,86336.1898209805,315115.05920653185,228778.86938555137,0.0,71.02248140745763,1.0,7.0
3,134663.14902664948,534218.0344328191,399554.88540616963,0.0,48.58792755020371,1.0,7.0
4,313471.1486512553,1127057.582970488,813586.4343192326,0.0,459.37685501075293,1.0,4.0
5,122523.86396468815,541689.0997979228,419165.2358332346,0.0,81.51056226995925,1.0,7.0
6,12045.736724034621,98545.10382687899,86499.36710284436,0.0,93.27878133730779,1.0,7.0
7,411255.4687697801,1810700.5845723846,1399445.1158026045,0.0,84.44957351221679,1.0,8.0
8,146528.16953879633,689266.7387563732,542738.5692175769,0.0,62.553763417956844,1.0,7.0
9,1558232.3222286492,5235829.421848241,3677597.099619592,0.0,168.37731777661327,1.0,7.0
10,409355.18620040896,1839999.5397822452,1430644.3535818362,0.0,58.92833494516349,1.0,7.0
11,1544172.7053256272,4945649.958170632,3401477.2528450047,0.0,271.3875832136685,1.0,5.0
12,365701.3331516611,1030612.5548974317,664911.2217457707,0.0,176.21784222895002,1.0,6.0
13,958551.6874376347,2871750.990139838,1913199.3027022032,0.0,129.31152506937332,1.0,7.0
14,228473.71849271192,834185.0628509397,605711.3443582278,0.0,56.5981151586721,1.0,7.0
15,1738743.0524419683,5632861.343975856,3894118.2915338874,0.0,167.60031206021014,1.0,7.0
16,787755.9078969458,2826193.112946384,2038437.2050494384,0.0,128.82882253029723,1.0,7.0
17,232427.70961331582,1061030.7430087556,828603.0333954399,0.0,44.71945527815138,1.0,8.0
18,167252.62235506903,835141.6775938933,667889.0552388242,0.0,44.12724750547234,1.0,8.0
19,86807.57027996253,457533.21210080787,370725.6418208453,0.0,50.4894497411331,1.0,8.0
20,32643.182912831606,183632.0414220074,150988.8585091758,0.0,78.86064128785594,1.0,8.0
21,739851.7191682041,3554234.5328248427,2814382.8136566384,0.0,83.01211037195694,1.0,8.0
22,611100.4157028616,2330270.154762956,1719169.739060094,0.0,108.40341186468457,1.0,8.0
23,858470.5681517348,2737122.485617801,1878651.9174660663,0.0,126.03355543662961,1.0,8.0
24,246117.01465524803,1094535.0499194732,848418.0352642252,0.0,43.65731785100713,1.0,8.0
25,159141.78197398208,483523.344038785,324381.562064803,0.0,158.09255513626218,1.0,7.0
26,401769.11969596124,1293014.31124199,891245.1915460287,0.0,126.65058918928739,1.0,6.0
27,132199.88588952553,472844.12456575147,340644.23867622594,0.0,161.05510616408486,1.0,7.0
28,217607.7038419912,776489.5480770747,558881.8442350836,0.0,147.40193482612256,1.0,7.0
29,1225941.3564091679,4088554.0048843697,2862612.648475202,0.0,143.23303839941062,1.0,8.0
30,328675.20318857295,1241893.6526235966,913218.4494350236,0.0,154.77261100835312,1.0,7.0
31,866638.517082247,3483028.5082710455,2616389.9911887986,0.0,129.84019495049222,1.0,7.0
32,107096.72492794026,498042.45446362864,390945.7295356884,0.0,73.44589039723957,1.0,7.0
33,1026156.8402196214,4303633.730440819,3277476.890221197,0.0,141.7714190504647,1.0,9.0
34,1057820.4728441178,3853917.2740890197,2796096.801244902,0.0,136.29950771002638,1.0,7.0
35,904925.0560725598,3768682.988093307,2863757.932020747,0.0,91.18712317526223,1.0,6.0
36,112066.82250798591,522485.7241209299,410418.90161294397,0.0,46.46494439799875,1.0,7.0
37,1249547.9902598178,3492686.6401299336,2243138.649870116,0.0,171.12461079760746,1.0,7.0
38,407031.59670570836,1343287.1452055378,936255.5484998294,0.0,65.4116688809555,1.0,7.0
39,590779.8418035475,1933875.3002521708,1343095.4584486233,0.0,192.174605325932,1.0,7.0
40,1286115.5428765102,4412320.704389566,3126205.1615130557,0.0,129.95911421835092,1.0,7.0
41,1147224.852266628,4268856.747633601,3121631.8953669723,0.0,84.72194022780573,1.0,8.0
42,214058.6821784157,911081.1473073602,697022.4651289445,0.0,73.8682501846536,1.0,8.0
43,275373.5209770546,1329998.332522086,1054624.8115450316,0.0,58.632305876011664,1.0,8.0
44,337785.32999298006,1633100.1809401049,1295314.8509471249,0.0,89.39441121516847,1.0,7.0
45,1363713.3164463989,5567226.038398645,4203512.7219522465,0.0,210.54836579405892,1.0,7.0
46,679119.3860839643,2531641.746265119,1852522.3601811547,0.0,84.0079062450225,1.0,8.0
47,136507.75193134716,641235.3325063327,504727.5805749855,0.0,51.810892947715274,1.0,8.0
48,147419.0770421918,598429.0617623274,451009.98472013563,0.0,50.508582507692594,1.0,8.0
49,926234.2662596937,2547810.7085143314,1621576.4422546378,0.0,120.30852639323204,1.0,7.0
50,154705.32694824124,506541.602270369,351836.27532212774,0.0,68.66962619510296,1.0,7.0
51,134112.6561160664,469339.19807687803,335226.5419608116,0.0,84.91621977111087,1.0,8.0
52,78892.09731660661,288161.2076414321,209269.1103248255,0.0,112.08186179042913,1.0,7.0
53,6606.906454734647,75835.23822032673,69228.33176559208,0.0,124.43926854379278,1.0,8.0
54,396056.97827527905,1476508.1226482238,1080451.1443729447,0.0,97.21226804768433,1.0,7.0
55,425021.7832145891,1787906.7498003282,1362884.966585739,0.0,62.11570884663047,1.0,7.0
56,280894.9389579135,1220619.2485650254,939724.3096071118,0.0,163.89351812002266,1.0,7.0
57,301228.1920063415,1279953.0462333292,978724.8542269878,0.0,111.35230198662235,1.0,7.0
58,964217.7512317005,4229809.285401278,3265591.5341695775,0.0,127.12150454611435,1.0,7.0
59,356879.5075806505,1531368.6812445763,1174489.1736639258,0.0,109.84813628958379,1.0,5.0
60,379069.28689453594,1306479.3647475268,927410.077852991,0.0,98.0730667573033,1.0,7.0
