spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass,target_reached
1,1.0,(363.0)417.45,(7.8)8.96,(75.0)75.0,(9.5)10.92,500.235553,53.983491,12.524299,82.5064,9.119169,0.8606638152024904,Yes,Yes,Yes,Yes,Yes,Yes
1,2.0,(363.0)417.45,(7.8)8.96,(75.0)75.0,(9.5)10.92,590.662529,55.426788,11.896517,80.808,8.702035,1.0227910591752327,Yes,Yes,Yes,Yes,Yes,Yes
1,3.0,(363.0)417.45,(7.8)8.96,(75.0)75.0,(9.5)10.92,566.290754,55.060789,11.268734,87.1096,8.284902,1.0165847642105381,Yes,Yes,Yes,Yes,Yes,Yes
1,4.0,(363.0)417.45,(7.8)8.96,(75.0)75.0,(9.5)10.92,541.918979,54.678687,10.640952,85.4112,7.867768,0.9037120057877842,Yes,Yes,Yes,Yes,Yes,Yes
1,5.0,(363.0)417.45,(7.8)8.96,(75.0)75.0,(9.5)10.92,517.547205,54.278999,12.970222,83.7128,7.450635,1.1208391370097963,Yes,Yes,Yes,Yes,Yes,Yes
1,6.0,(363.0)417.45,(7.8)8.96,(75.0)75.0,(9.5)10.92,493.17543,53.860029,12.34244,82.0144,8.998332,0.827966279440483,Yes,Yes,Yes,Yes,Yes,Yes
1,7.0,(363.0)417.45,(7.8)8.96,(75.0)75.0,(9.5)10.92,583.602405,55.322341,11.714658,80.316,8.581198,0.990093521017729,Yes,Yes,Yes,Yes,Yes,Yes
1,8.0,(363.0)417.45,(7.8)8.96,(75.0)75.0,(9.5)10.92,559.230631,54.951819,11.086876,86.6176,8.164065,0.9838873400461552,Yes,Yes,Yes,Yes,Yes,Yes
1,9.0,(363.0)417.45,(7.8)8.96,(75.0)75.0,(9.5)10.92,534.858856,54.564784,10.459094,84.9192,7.746931,0.8710145816234013,Yes,Yes,Yes,Yes,Yes,Yes
1,10.0,(363.0)417.45,(7.8)8.96,(75.0)75.0,(9.5)10.92,510.487082,54.159695,12.788364,83.2208,9.294628,0.9081417053098371,Yes,Yes,Yes,Yes,Yes,Yes
2,1.0,(228.0)262.20,(3.4)3.92,(75.0)75.0,(4.0)4.65,371.297487,51.39444,5.215723,80.8416,3.707269,1.0250240620544586,Yes,Yes,Yes,Yes,Yes,Yes
2,2.0,(228.0)262.20,(3.4)3.92,(75.0)75.0,(4.0)4.65,355.989596,51.028746,4.940775,87.1432,3.529729,1.0188178581863458,Yes,Yes,Yes,Yes,Yes,Yes
2,3.0,(228.0)262.20,(3.4)3.92,(75.0)75.0,(4.0)4.65,340.681704,50.646976,4.665827,85.4448,3.352189,0.9059449838376838,Yes,Yes,Yes,Yes,Yes,Yes
2,4.0,(228.0)262.20,(3.4)3.92,(75.0)75.0,(4.0)4.65,325.373813,50.247652,5.685971,83.7464,3.174649,1.1230721661779173,Yes,Yes,Yes,Yes,Yes,Yes
2,5.0,(228.0)262.20,(3.4)3.92,(75.0)75.0,(4.0)4.65,310.065921,49.829081,5.411023,82.048,3.833379,0.8301993384177984,Yes,Yes,Yes,Yes,Yes,Yes
2,6.0,(228.0)262.20,(3.4)3.92,(75.0)75.0,(4.0)4.65,366.86303,51.290079,5.136075,80.3496,3.655839,0.9923264678830186,Yes,Yes,Yes,Yes,Yes,Yes
2,7.0,(228.0)262.20,(3.4)3.92,(75.0)75.0,(4.0)4.65,351.555138,50.919869,4.861127,86.6512,3.478299,0.9861202602010233,Yes,Yes,Yes,Yes,Yes,Yes
2,8.0,(228.0)262.20,(3.4)3.92,(75.0)75.0,(4.0)4.65,336.247247,50.533175,4.586179,84.9528,3.300759,0.8732473896662435,Yes,Yes,Yes,Yes,Yes,Yes
2,9.0,(228.0)262.20,(3.4)3.92,(75.0)75.0,(4.0)4.65,320.939355,50.12846,5.606323,83.2544,3.959489,0.9103746147811377,Yes,Yes,Yes,Yes,Yes,Yes
2,10.0,(228.0)262.20,(3.4)3.92,(75.0)75.0,(4.0)4.65,305.631464,49.703961,5.331375,81.556,3.781948,0.7975019594877917,Yes,Yes,Yes,Yes,Yes,Yes
3,1.0,(206.0)236.90,(5.7)6.51,(75.0)75.0,(2.9)3.38,321.913342,50.15478,8.201819,87.1768,2.567953,1.0210506655561291,Yes,Yes,Yes,Yes,Yes,Yes
3,2.0,(206.0)236.90,(5.7)6.51,(75.0)75.0,(2.9)3.38,308.082527,49.773341,7.7459,85.4784,2.438917,0.9081778986860803,Yes,Yes,Yes,Yes,Yes,Yes
