spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass,target_reached,scalarized_value,preference,scalarization
1,1.0,363.0,7.79196887859892,75.0,9.491931969776534,500.235553,53.983491,12.524299,82.5064,9.119169,1.124751,Yes,Yes,Yes,Yes,Yes,Yes,0.378059,"[1.0, 0.0, 0.0, 0.0]",cosine
1,2.0,363.0,7.79196887859892,75.0,9.491931969776534,590.662529,55.426788,11.896517,80.808,8.702035,1.314594,Yes,Yes,Yes,Yes,Yes,Yes,0.526766,"[0.0, 1.0, 0.0, 0.0]",cosine
1,3.0,363.0,7.79196887859892,75.0,9.491931969776534,566.290754,55.060789,11.268734,87.1096,8.284902,1.294853,Yes,Yes,Yes,Yes,Yes,Yes,0.161461,"[0.0, 0.0, 1.0, 0.0]",cosine
1,4.0,363.0,7.79196887859892,75.0,9.491931969776534,541.918979,54.678687,10.640952,85.4112,7.867768,1.168446,Yes,Yes,Yes,Yes,Yes,Yes,0.17111,"[0.0, 0.0, 0.0, 1.0]",cosine
1,5.0,363.0,7.79196887859892,75.0,9.491931969776534,517.547205,54.278999,12.970222,83.7128,7.450635,1.421539,Yes,Yes,Yes,Yes,Yes,Yes,0.770968,"[0.5, 0.5, 0.0, 0.0]",cosine
1,6.0,363.0,7.79196887859892,75.0,9.491931969776534,493.17543,53.860029,12.34244,82.0144,8.998332,1.088132,Yes,Yes,Yes,Yes,Yes,Yes,0.319708,"[0.5, 0.0, 0.5, 0.0]",cosine
1,7.0,363.0,7.79196887859892,75.0,9.491931969776534,583.602405,55.322341,11.714658,80.316,8.581198,1.277976,Yes,Yes,Yes,Yes,Yes,Yes,0.497569,"[0.5, 0.0, 0.0, 0.5]",cosine
1,8.0,363.0,7.79196887859892,75.0,9.491931969776534,559.230631,54.951819,11.086876,86.6176,8.164065,1.258235,Yes,Yes,Yes,Yes,Yes,Yes,0.408539,"[0.0, 0.5, 0.5, 0.0]",cosine
1,9.0,363.0,7.79196887859892,75.0,9.491931969776534,534.858856,54.564784,10.459094,84.9192,7.746931,1.131828,Yes,Yes,Yes,Yes,Yes,Yes,0.372032,"[0.0, 0.5, 0.0, 0.5]",cosine
1,10.0,363.0,7.79196887859892,75.0,9.491931969776534,510.487082,54.159695,12.788364,83.2208,9.294628,1.177921,Yes,Yes,Yes,Yes,Yes,Yes,0.092205,"[0.0, 0.0, 0.5, 0.5]",cosine
2,1.0,228.0,3.4126265941789784,75.0,4.039952736462988,371.297487,51.39444,5.215723,80.8416,3.707269,1.317094,Yes,Yes,Yes,Yes,Yes,Yes,0.628498,"[1.0, 0.0, 0.0, 0.0]",cosine
2,2.0,228.0,3.4126265941789784,75.0,4.039952736462988,355.989596,51.028746,4.940775,87.1432,3.529729,1.297354,Yes,Yes,Yes,Yes,Yes,Yes,0.447792,"[0.0, 1.0, 0.0, 0.0]",cosine
2,3.0,228.0,3.4126265941789784,75.0,4.039952736462988,340.681704,50.646976,4.665827,85.4448,3.352189,1.170947,Yes,Yes,Yes,Yes,Yes,Yes,0.139264,"[0.0, 0.0, 1.0, 0.0]",cosine
2,4.0,228.0,3.4126265941789784,75.0,4.039952736462988,325.373813,50.247652,5.685971,83.7464,3.174649,1.42404,Yes,Yes,Yes,Yes,Yes,Yes,0.214187,"[0.0, 0.0, 0.0, 1.0]",cosine
2,5.0,228.0,3.4126265941789784,75.0,4.039952736462988,310.065921,49.829081,5.411023,82.048,3.833379,1.090633,Yes,Yes,Yes,Yes,Yes,Yes,0.668589,"[0.5, 0.5, 0.0, 0.0]",cosine
2,6.0,228.0,3.4126265941789784,75.0,4.039952736462988,366.86303,51.290079,5.136075,80.3496,3.655839,1.280476,Yes,Yes,Yes,Yes,Yes,Yes,0.481099,"[0.5, 0.0, 0.5, 0.0]",cosine
2,7.0,228.0,3.4126265941789784,75.0,4.039952736462988,351.555138,50.919869,4.861127,86.6512,3.478299,1.260736,Yes,Yes,Yes,Yes,Yes,Yes,0.481493,"[0.5, 0.0, 0.0, 0.5]",cosine
2,8.0,228.0,3.4126265941789784,75.0,4.039952736462988,336.247247,50.533175,4.586179,84.9528,3.300759,1.134329,Yes,Yes,Yes,Yes,Yes,Yes,0.337,"[0.0, 0.5, 0.5, 0.0]",cosine
2,9.0,228.0,3.4126265941789784,75.0,4.039952736462988,320.939355,50.12846,5.606323,83.2544,3.959489,1.180422,Yes,Yes,Yes,Yes,Yes,Yes,0.468624,"[0.0, 0.5, 0.0, 0.5]",cosine
2,10.0,228.0,3.4126265941789784,75.0,4.039952736462988,305.631464,49.703961,5.331375,81.556,3.781948,1.054015,Yes,Yes,Yes,Yes,Yes,Yes,0.106969,"[0.0, 0.0, 0.5, 0.5]",cosine
3,1.0,206.0,5.6588218741857625,75.0,2.9362292209479945,321.913342,50.15478,8.201819,87.1768,2.567953,1.299855,Yes,Yes,Yes,Yes,Yes,Yes,0.562686,"[1.0, 0.0, 0.0, 0.0]",cosine
3,2.0,206.0,5.6588218741857625,75.0,2.9362292209479945,308.082527,49.773341,7.7459,85.4784,2.438917,1.173448,Yes,Yes,Yes,Yes,Yes,Yes,0.368818,"[0.0, 1.0, 0.0, 0.0]",cosine
3,3.0,206.0,5.6588218741857625,75.0,2.9362292209479945,294.251713,49.37438,9.437504,83.78,2.309881,1.426541,Yes,Yes,Yes,Yes,Yes,Yes,0.117067,"[0.0, 0.0, 1.0, 0.0]",cosine
3,4.0,206.0,5.6588218741857625,75.0,2.9362292209479945,280.420899,48.956208,8.981585,82.0816,2.788645,1.093134,Yes,Yes,Yes,Yes,Yes,Yes,0.050263,"[0.0, 0.0, 0.0, 1.0]",cosine
3,5.0,206.0,5.6588218741857625,75.0,2.9362292209479945,331.737585,50.415894,8.525666,80.3832,2.659609,1.282977,Yes,Yes,Yes,Yes,Yes,Yes,0.789832,"[0.5, 0.5, 0.0, 0.0]",cosine
3,6.0,206.0,5.6588218741857625,75.0,2.9362292209479945,317.90677,50.045996,8.069747,86.6848,2.530573,1.263237,Yes,Yes,Yes,Yes,Yes,Yes,0.494292,"[0.5, 0.0, 0.5, 0.0]",cosine
3,7.0,206.0,5.6588218741857625,75.0,2.9362292209479945,304.075956,49.659642,7.613828,84.9864,2.401537,1.13683,Yes,Yes,Yes,Yes,Yes,Yes,0.465417,"[0.5, 0.0, 0.0, 0.5]",cosine
3,8.0,206.0,5.6588218741857625,75.0,2.9362292209479945,290.245142,49.255299,9.305431,83.288,2.880301,1.182923,Yes,Yes,Yes,Yes,Yes,Yes,0.533808,"[0.0, 0.5, 0.5, 0.0]",cosine
3,9.0,206.0,5.6588218741857625,75.0,2.9362292209479945,276.414328,48.831211,8.849512,81.5896,2.751265,1.056516,Yes,Yes,Yes,Yes,Yes,Yes,0.443241,"[0.0, 0.5, 0.0, 0.5]",cosine
