spec,target_reached,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ibias_ma,output_pm_deg,output_ugbw_mhz,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass
0,Yes,(363.0)417.45,(7.8)8.96,(75.0)75.0,(9.5)10.92,504.22115700000006,54.052421292321434,9.210686025512054,79.524,10.895213988127484,0.6402600000000004,Yes,Yes,Yes,Yes,Yes
1,Yes,(228.0)262.20,(3.4)3.92,(75.0)75.0,(4.0)4.65,312.878016,49.90750098070557,3.976697176491818,79.2,4.701811130035377,0.5913900000000004,Yes,Yes,Yes,Yes,Yes
2,Yes,(206.0)236.90,(5.7)6.51,(75.0)75.0,(2.9)3.38,279.23403,48.91936688508467,2.9312816747106973,78.876,7.680583118107354,0.5425200000000001,Yes,Yes,Yes,Yes,Yes
3,Yes,(389.0)447.35,(6.5)7.43,(75.0)75.0,(7.2)8.23,520.769082,54.332903846249614,7.242945258151063,78.552,8.635078017512797,0.49365000000000003,Yes,Yes,Yes,Yes,Yes
4,Yes,(270.0)310.50,(5.3)6.10,(75.0)75.0,(7.7)8.85,356.93217,51.05171384641246,7.896443661903743,78.228,6.985020628903828,0.4447799999999996,Yes,Yes,Yes,Yes,Yes
5,Yes,(262.0)301.30,(1.3)1.54,(75.0)75.0,(4.3)4.94,341.9634479999999,50.67959374800779,4.466128835625332,77.904,1.735798884287338,0.3959099999999998,Yes,Yes,Yes,Yes,Yes
6,Yes,(257.0)295.55,(13.8)15.89,(75.0)75.0,(4.1)4.69,331.12830899999994,50.39992622554766,4.303840791116002,77.58,17.62373478120179,0.3470399999999998,Yes,Yes,Yes,Yes,Yes
7,Yes,(235.0)270.25,(7.6)8.72,(75.0)75.0,(6.4)7.41,298.84245000000004,49.508845764561315,5.769344636818627,77.256,9.51582388653372,0.44816999999999996,Yes,Yes,Yes,Yes,Yes
8,Yes,(388.0)446.20,(24.4)28.04,(75.0)75.0,(5.4)6.24,486.90236400000003,53.74883766260254,4.932839145631741,80.932,30.096472498452858,0.45263333333333344,Yes,Yes,Yes,Yes,Yes
9,Yes,(226.0)259.90,(14.3)16.42,(75.0)75.0,(1.6)1.85,279.818736,48.93753580919135,1.4884512727571675,80.608,17.334167748983695,0.4037633333333335,Yes,Yes,Yes,Yes,Yes
10,Yes,(373.0)428.95,(17.7)20.40,(75.0)75.0,(0.9)1.07,455.570637,53.171114492521276,0.8697234640482459,80.284,25.6550622253421,0.5748933333333337,Yes,Yes,Yes,Yes,Yes
11,Yes,(389.0)447.35,(4.0)4.64,(75.0)75.0,(0.9)1.01,549.1131780000001,54.79323732671014,0.8395808167296251,79.96,5.747140423047794,0.7060233333333334,Yes,Yes,Yes,Yes,Yes
12,Yes,(339.0)389.85,(21.8)25.12,(75.0)75.0,(9.2)10.60,472.849065,53.49445069220061,8.899532902580331,79.636,30.69706927348854,0.6571533333333334,Yes,Yes,Yes,Yes,Yes
13,Yes,(222.0)255.30,(12.8)14.70,(75.0)75.0,(9.7)11.21,305.93109599999997,49.712472451419316,9.546037425036719,79.312,17.69992898593613,0.6082833333333333,Yes,Yes,Yes,Yes,Yes
14,Yes,(351.0)403.65,(21.9)25.24,(75.0)75.0,(1.6)1.88,477.816651,53.58522560025775,1.6275605072447794,78.988,29.94125354342242,0.5594133333333335,Yes,Yes,Yes,Yes,Yes
15,Yes,(308.0)354.20,(14.8)16.99,(75.0)75.0,(3.3)3.84,414.116472,52.342450109029954,3.359697412535874,78.664,19.859050055277926,0.5105433333333335,Yes,Yes,Yes,Yes,Yes
16,Yes,(208.0)239.20,(12.3)14.11,(75.0)75.0,(5.9)6.79,276.17553599999997,48.823704111154846,6.032287663016305,78.34,16.231879102411256,0.46167333333333316,Yes,Yes,Yes,Yes,Yes
17,Yes,(207.0)238.05,(11.6)13.31,(75.0)75.0,(7.7)8.80,271.377,48.67146074294004,7.926957566940644,78.016,15.075963276421836,0.4128033333333335,Yes,Yes,Yes,Yes,Yes
18,Yes,(223.0)256.45,(5.4)6.24,(75.0)75.0,(6.5)7.51,288.613959,49.20634664395523,6.8559985632089715,77.692,6.956606205060708,0.36393333333333344,Yes,Yes,Yes,Yes,Yes
