spec,target_reached,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ibias_ma,output_pm_deg,output_ugbw_mhz,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass
0,Yes,363.0,7.7919688785989205,75.0,9.491931969776534,438.45318000000003,52.8384644852492,8.009292196097439,79.524,9.474099120110857,0.6402600000000004,Yes,Yes,Yes,Yes,Yes
1,Yes,228.0,3.4126265941789784,75.0,4.039952736462988,272.06784000000005,48.69354417363334,3.4579975447754947,79.2,4.088531417422067,0.5913900000000003,Yes,Yes,Yes,Yes,Yes
2,Yes,206.0,5.6588218741857625,75.0,2.9362292209479945,242.81220000000002,47.705410078012434,2.548940586704954,78.876,6.678767928789004,0.54252,Yes,Yes,Yes,Yes,Yes
3,Yes,389.0,6.459595923581313,75.0,7.155027853402381,452.84268000000003,53.11894703917738,6.298213267957447,78.552,7.50876349348939,0.49365,Yes,Yes,Yes,Yes,Yes
4,Yes,270.0,5.30659704844968,75.0,7.694389006590671,310.3758,49.837757039340225,6.866472749481515,78.228,6.073930981655504,0.4447800000000002,Yes,Yes,Yes,Yes,Yes
5,Yes,262.0,1.339560814145532,75.0,4.293394828199784,297.35952,49.46563694093555,3.883590291848115,77.904,1.5093903341629025,0.3959099999999997,Yes,Yes,Yes,Yes,Yes
6,Yes,257.0,13.819242142423919,75.0,4.08254636538055,287.93766,49.18596941847543,3.7424702531443503,77.58,15.324986766262427,0.3470399999999997,Yes,Yes,Yes,Yes,Yes
7,Yes,235.0,7.583471842798415,75.0,6.441319154292284,259.863,48.29488895748908,5.016821423320546,77.256,8.274629466551064,0.44816999999999996,Yes,Yes,Yes,Yes,Yes
8,Yes,388.0,24.38307834646571,75.0,5.422788045546904,423.39336000000003,52.534880855530304,4.289425344027601,80.932,26.17084565082858,0.45263333333333367,Yes,Yes,Yes,Yes,Yes
9,Yes,226.0,14.2806152031666,75.0,1.6115363936642597,243.32064,47.723579002119116,1.29430545457145,80.608,15.073189346942346,0.4037633333333335,Yes,Yes,Yes,Yes,Yes
10,Yes,373.0,17.738017429844668,75.0,0.9276110304003818,396.14838,51.95715768544904,0.7562812730854314,80.284,22.308749761167043,0.5748933333333334,Yes,Yes,Yes,Yes,Yes
11,Yes,389.0,4.030707831001814,75.0,0.8823134635531639,477.48972000000003,53.579280519637905,0.7300702754170655,79.96,4.997513411345908,0.7060233333333332,Yes,Yes,Yes,Yes,Yes
12,Yes,339.0,21.843068734310656,75.0,9.217156101850085,411.17310000000003,52.28049388512837,7.7387242631133315,79.636,26.693103716076998,0.6571533333333335,Yes,Yes,Yes,Yes,Yes
13,Yes,222.0,12.781088668570693,75.0,9.745702505110165,266.02704,48.49851564434709,8.300902108727582,79.312,15.3912425964662,0.6082833333333334,Yes,Yes,Yes,Yes,Yes
14,Yes,351.0,21.94527363996483,75.0,1.6382335991431975,415.49274,52.37126879318552,1.4152700062998083,78.988,26.03587264645428,0.5594133333333337,Yes,Yes,Yes,Yes,Yes
15,Yes,308.0,14.777541271031973,75.0,3.3348279332238575,360.10128,51.12849330195772,2.9214760109007605,78.664,17.268739178502546,0.5105433333333335,Yes,Yes,Yes,Yes,Yes
16,Yes,208.0,12.265526678332245,75.0,5.9057279138230765,240.15264,47.60974730408261,5.245467533057657,78.34,14.114677480357614,0.4616733333333332,Yes,Yes,Yes,Yes,Yes
17,Yes,207.0,11.571251155264246,75.0,7.655918898148926,235.98000000000002,47.45750393586781,6.893006579948384,78.016,13.109533283845074,0.41280333333333363,Yes,Yes,Yes,Yes,Yes
18,Yes,223.0,5.424728089361961,75.0,6.533411376494552,250.96866000000003,47.99238983688299,5.961737881051279,77.692,6.0492227870093105,0.3639333333333333,Yes,Yes,Yes,Yes,Yes
19,Yes,255.0,2.233041212405868,75.0,6.467230237681712,283.2642,49.043833804217286,5.009839903620138,77.368,2.450316122372959,0.4650633333333333,Yes,Yes,Yes,Yes,Yes
20,Yes,259.0,23.58552632243448,75.0,3.1706779846317406,283.93134,49.0642666414903,2.4946894383082534,77.044,25.460103954541573,0.4161933333333333,Yes,Yes,Yes,Yes,Yes
21,Yes,329.0,12.465500494376505,75.0,4.431111826200693,355.87272,51.02589395465116,3.5402367935430443,80.72,13.23412325485976,0.4206566666666666,Yes,Yes,Yes,Yes,Yes
22,Yes,354.0,20.730775487186328,75.0,9.538936969489116,377.7534,51.544167638624614,7.737031775952622,80.396,26.20038329172557,0.5917866666666667,Yes,Yes,Yes,Yes,Yes
23,Yes,206.0,10.616978614046555,75.0,2.462510143021262,216.81912000000003,46.721951548503704,2.0272614752422538,80.072,13.22896769267429,0.542916666666667,Yes,Yes,Yes,Yes,Yes
24,Yes,343.0,2.777972086135355,75.0,2.5203495618217184,417.75342,52.41840027991651,2.1055000239458637,79.748,3.411905316191443,0.6740466666666668,Yes,Yes,Yes,Yes,Yes
25,Yes,250.0,16.10669696684796,75.0,9.253814768056479,300.84,49.56671160011682,7.8430707066662695,79.424,19.495223874733433,0.6251766666666665,Yes,Yes,Yes,Yes,Yes
26,Yes,383.0,2.2866177830207954,75.0,1.2482671572892459,455.30274,53.16600527777811,1.0731352751215646,79.1,2.72692890331928,0.5763066666666665,Yes,Yes,Yes,Yes,Yes
27,Yes,366.0,4.580742027367724,75.0,6.16173826476515,429.75720000000007,52.66446322872112,5.3721115061354965,78.776,5.38118088922996,0.5274366666666668,Yes,Yes,Yes,Yes,Yes
28,Yes,379.0,14.508150330029542,75.0,0.6447833348957562,439.49598000000003,52.85909814010472,0.5699884680478485,78.452,16.784769279817773,0.4785666666666665,Yes,Yes,Yes,Yes,Yes
29,Yes,339.0,8.292052284213465,75.0,6.694187830707175,388.16856,51.78040712947229,5.998996424488236,78.128,9.445476756947558,0.42969666666666667,Yes,Yes,Yes,Yes,Yes
30,Yes,307.0,24.854034945045285,75.0,6.614718369636804,347.05122,50.807871508600535,6.008148695141109,77.804,27.868332303180377,0.38082666666666654,Yes,Yes,Yes,Yes,Yes
31,Yes,256.0,3.842837493075078,75.0,1.8388944460636802,285.66528,49.117149181423585,1.4167762259697627,77.48,4.240417460108626,0.48195666666666664,Yes,Yes,Yes,Yes,Yes
32,Yes,314.0,19.34664268782866,75.0,0.22538321843904202,345.8082,50.776705745937285,0.1763849067503943,77.156,21.003489167614305,0.4330866666666666,Yes,Yes,Yes,Yes,Yes
33,Yes,350.0,15.551623629831107,75.0,1.4583967942360503,380.35200000000003,51.60371408484194,1.159060852219101,80.832,16.606334744406254,0.43755,Yes,Yes,Yes,Yes,Yes
34,Yes,271.0,19.977779916242067,75.0,0.2123709710087101,290.54994000000005,49.264415801816845,0.1713621365069282,80.508,20.97666891205417,0.38868,Yes,Yes,Yes,Yes,Yes
35,Yes,201.0,6.416491289560831,75.0,5.014488031974885,212.56956000000002,46.55002147180467,4.10711642258903,80.184,8.034602062962282,0.5598100000000001,Yes,Yes,Yes,Yes,Yes
36,Yes,394.0,13.541740843125227,75.0,3.5323807640206293,481.85411999999997,53.65831153372681,2.9361148910539474,79.86,16.715383227120057,0.6909399999999999,Yes,Yes,Yes,Yes,Yes
37,Yes,240.0,11.812347157330102,75.0,5.220506140228899,290.016,49.24843916625698,4.402713853362043,79.536,14.370192810778361,0.6420699999999999,Yes,Yes,Yes,Yes,Yes
38,Yes,378.0,11.62530409646388,75.0,8.242818039920767,451.26396000000005,53.088613003302086,7.051730833152217,79.212,13.935484526513182,0.5932000000000001,Yes,Yes,Yes,Yes,Yes
39,Yes,308.0,21.64399997982832,75.0,2.666544919110337,363.20592,51.20305837200186,2.313627699066084,78.888,25.559399576179267,0.5443300000000003,Yes,Yes,Yes,Yes,Yes
40,Yes,287.0,24.76075025120315,75.0,3.781507365827358,334.25742,50.48162113419509,3.32697018045491,78.564,28.79873340216936,0.49546,Yes,Yes,Yes,Yes,Yes
41,Yes,271.0,8.329125863664649,75.0,7.522786202528532,311.67168,49.87394683934533,6.709949153345324,78.24,9.539014686620574,0.4465899999999996,Yes,Yes,Yes,Yes,Yes
42,Yes,239.0,15.904655705731566,75.0,8.747254558360341,271.3845,48.671700790077836,7.9083928462135855,77.916,17.931545028869994,0.3977199999999997,Yes,Yes,Yes,Yes,Yes
43,Yes,255.0,15.631141893883127,75.0,7.356064791794912,285.8346,49.12229597122361,6.739994365482088,77.592,17.344627668290595,0.34885000000000005,Yes,Yes,Yes,Yes,Yes
44,Yes,395.0,18.76214333162908,75.0,1.268761530795394,437.00430000000006,52.80971420655189,0.987603975571135,77.268,20.48450808947263,0.44998000000000005,Yes,Yes,Yes,Yes,Yes
45,Yes,286.0,23.742164807809072,75.0,9.008984523196718,312.24336,49.889864233412084,7.122052714813166,80.944,25.49861016029079,0.4544433333333334,Yes,Yes,Yes,Yes,Yes
46,Yes,226.0,5.986909739765232,75.0,3.4166091605303257,243.44268,47.727934408330256,2.7425121731576927,80.62,6.323134590750447,0.4055733333333333,Yes,Yes,Yes,Yes,Yes
47,Yes,223.0,6.064604687329432,75.0,4.350313236509322,236.9598,47.49349349243758,3.5448527407696218,80.296,7.631334662254117,0.5767033333333333,Yes,Yes,Yes,Yes,Yes
48,Yes,297.0,16.85027529260888,75.0,5.286156693341827,364.72194,51.23923778529587,4.371651585393691,79.972,20.90310350598717,0.7078333333333333,Yes,Yes,Yes,Yes,Yes
49,Yes,224.0,4.7693702411410515,75.0,2.703201543182135,271.81056,48.68532650640195,2.2683915749612886,79.648,5.831508993843164,0.6589633333333332,Yes,Yes,Yes,Yes,Yes
50,Yes,291.0,5.171525159834427,75.0,9.753000819003965,348.86826,50.85322918352266,8.302729597218075,79.324,6.231067234581305,0.6100933333333335,Yes,Yes,Yes,Yes,Yes
51,Yes,288.0,2.80155685362803,75.0,6.312575045697342,341.07264,50.65693765560052,5.4505929232073695,79.0,3.3256160786676894,0.5612233333333333,Yes,Yes,Yes,Yes,Yes
52,Yes,354.0,1.0642173424692576,75.0,5.011860932457879,414.0738,52.34155503866872,4.388385432460119,78.676,1.2443254855087549,0.5123533333333335,Yes,Yes,Yes,Yes,Yes
53,Yes,267.0,11.812088910824858,75.0,5.156740606317122,308.41704000000004,49.7827672950708,4.577896473258026,78.352,13.600675413701959,0.46348333333333336,Yes,Yes,Yes,Yes,Yes
54,Yes,211.0,15.251468682869518,75.0,0.6488471973399739,240.65394000000003,47.62785952731108,0.5838975928862424,78.028,17.289064898900886,0.41461333333333367,Yes,Yes,Yes,Yes,Yes
55,Yes,386.0,7.990222936744662,75.0,8.607661848605966,434.62056,52.76220534090256,7.850617989021071,77.704,8.915330948360959,0.3657433333333333,Yes,Yes,Yes,Yes,Yes
56,Yes,317.0,6.55542962934462,75.0,1.7521257872887628,352.30746,50.93843678656175,1.35649578451896,77.38,7.197599515835219,0.46687333333333336,Yes,Yes,Yes,Yes,Yes
57,Yes,337.0,17.9669399170968,75.0,1.657368812901148,369.6216,51.3551468530559,1.3032719660248178,77.056,19.406810482052936,0.4180033333333332,Yes,Yes,Yes,Yes,Yes
58,Yes,231.0,17.87170139424921,75.0,7.75595663725405,249.99282,47.958550711108046,6.193131374847358,80.732,18.985465825138824,0.4224666666666669,Yes,Yes,Yes,Yes,Yes
59,Yes,296.0,11.896751833769038,75.0,8.953257359428195,316.02144000000004,49.99433095349657,7.257958078420467,80.408,15.043442693800948,0.5935966666666667,Yes,Yes,Yes,Yes,Yes
60,Yes,220.0,17.497238081709824,75.0,6.773792272474661,231.67320000000004,47.297515948540536,5.573476281792151,80.084,21.813456771706004,0.544726666666667,Yes,Yes,Yes,Yes,Yes
61,Yes,341.0,23.17386506758117,75.0,1.24180267498794,415.50168,52.37145568217418,1.0368431434811807,79.76,28.477435826947797,0.6758566666666669,Yes,Yes,Yes,Yes,Yes
62,Yes,275.0,19.907872639521553,75.0,7.433721628318477,331.0725,50.39846216567527,6.297105591348583,79.436,24.109230081366185,0.6269866666666667,Yes,Yes,Yes,Yes,Yes
63,Yes,360.0,16.001392171941326,75.0,0.1254282097218569,428.1552,52.632024459044004,0.10777418920350555,79.112,19.09318116740383,0.5781166666666664,Yes,Yes,Yes,Yes,Yes
