spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass,scalarization
1,1.0,363.0,7.79196887859892,75.0,9.491931969776534,17088.92558,84.654295,392.413802,81.365,0.057,296.505133,Yes,Yes,Yes,Yes,Yes,cosine+llm
1,2.0,363.0,7.79196887859892,75.0,9.491931969776534,28907.011345,89.220064,159.954165,86.04,0.198,187.292094,Yes,Yes,Yes,Yes,Yes,cosine+llm
1,3.0,363.0,7.79196887859892,75.0,9.491931969776534,28907.011345,89.220064,159.954165,86.04,0.198,187.292094,Yes,Yes,Yes,Yes,Yes,cosine+llm
1,4.0,363.0,7.79196887859892,75.0,9.491931969776534,18544.403797,85.364258,340.535568,84.125,0.069,268.560695,Yes,Yes,Yes,Yes,Yes,cosine+llm
1,5.0,363.0,7.79196887859892,75.0,9.491931969776534,28907.011345,89.220064,159.954165,86.04,0.198,187.292094,Yes,Yes,Yes,Yes,Yes,cosine+llm
1,6.0,363.0,7.79196887859892,75.0,9.491931969776534,28907.011345,89.220064,159.954165,86.04,0.198,187.292094,Yes,Yes,Yes,Yes,Yes,cosine+llm
1,7.0,363.0,7.79196887859892,75.0,9.491931969776534,17585.686576,84.903187,372.787004,82.285,0.061,285.767155,Yes,Yes,Yes,Yes,Yes,cosine+llm
1,8.0,363.0,7.79196887859892,75.0,9.491931969776534,28907.011345,89.220064,159.954165,86.04,0.198,187.292094,Yes,Yes,Yes,Yes,Yes,cosine+llm
1,9.0,363.0,7.79196887859892,75.0,9.491931969776534,18544.403797,85.364258,340.535568,84.125,0.069,268.560695,Yes,Yes,Yes,Yes,Yes,cosine+llm
1,10.0,363.0,7.79196887859892,75.0,9.491931969776534,17088.92558,84.654295,392.413802,81.365,0.057,296.505133,Yes,Yes,Yes,Yes,Yes,cosine+llm
2,1.0,228.0,3.4126265941789784,75.0,4.039952736462988,19007.901427,85.578683,327.087662,85.045,0.073,72.607324,Yes,Yes,Yes,Yes,Yes,cosine+llm
2,2.0,228.0,3.4126265941789784,75.0,4.039952736462988,28907.011345,89.220064,159.954165,86.04,0.198,91.298127,Yes,Yes,Yes,Yes,Yes,cosine+llm
2,3.0,228.0,3.4126265941789784,75.0,4.039952736462988,28907.011345,89.220064,159.954165,86.04,0.198,91.298127,Yes,Yes,Yes,Yes,Yes,cosine+llm
2,4.0,228.0,3.4126265941789784,75.0,4.039952736462988,17585.686576,84.903187,372.787004,82.285,0.061,71.143529,Yes,Yes,Yes,Yes,Yes,cosine+llm
2,5.0,228.0,3.4126265941789784,75.0,4.039952736462988,28907.011345,89.220064,159.954165,86.04,0.198,91.298127,Yes,Yes,Yes,Yes,Yes,cosine+llm
2,6.0,228.0,3.4126265941789784,75.0,4.039952736462988,28907.011345,89.220064,159.954165,86.04,0.198,91.298127,Yes,Yes,Yes,Yes,Yes,cosine+llm
2,7.0,228.0,3.4126265941789784,75.0,4.039952736462988,17585.686576,84.903187,372.787004,82.285,0.061,71.143529,Yes,Yes,Yes,Yes,Yes,cosine+llm
2,8.0,228.0,3.4126265941789784,75.0,4.039952736462988,28907.011345,89.220064,159.954165,86.04,0.198,91.298127,Yes,Yes,Yes,Yes,Yes,cosine+llm
2,9.0,228.0,3.4126265941789784,75.0,4.039952736462988,16055.972695,84.112732,441.88309,79.525,0.049,70.727258,Yes,Yes,Yes,Yes,Yes,cosine+llm
2,10.0,228.0,3.4126265941789784,75.0,4.039952736462988,18070.574171,85.139439,355.650108,83.205,0.065,71.552181,Yes,Yes,Yes,Yes,Yes,cosine+llm
3,1.0,206.0,5.6588218741857625,75.0,2.9362292209479945,17088.92558,84.654295,392.413802,81.365,0.057,288.097157,Yes,Yes,Yes,Yes,Yes,cosine+llm
3,2.0,206.0,5.6588218741857625,75.0,2.9362292209479945,28907.011345,89.220064,159.954165,86.04,0.198,194.162054,Yes,Yes,Yes,Yes,Yes,cosine+llm
3,3.0,206.0,5.6588218741857625,75.0,2.9362292209479945,28907.011345,89.220064,159.954165,86.04,0.198,194.162054,Yes,Yes,Yes,Yes,Yes,cosine+llm
3,4.0,206.0,5.6588218741857625,75.0,2.9362292209479945,16055.972695,84.112732,441.88309,79.525,0.049,313.281663,Yes,Yes,Yes,Yes,Yes,cosine+llm
3,5.0,206.0,5.6588218741857625,75.0,2.9362292209479945,28907.011345,89.220064,159.954165,86.04,0.198,194.162054,Yes,Yes,Yes,Yes,Yes,cosine+llm
3,6.0,206.0,5.6588218741857625,75.0,2.9362292209479945,28907.011345,89.220064,159.954165,86.04,0.198,194.162054,Yes,Yes,Yes,Yes,Yes,cosine+llm
3,7.0,206.0,5.6588218741857625,75.0,2.9362292209479945,17585.686576,84.903187,372.787004,82.285,0.061,278.413682,Yes,Yes,Yes,Yes,Yes,cosine+llm
3,8.0,206.0,5.6588218741857625,75.0,2.9362292209479945,28907.011345,89.220064,159.954165,86.04,0.198,194.162054,Yes,Yes,Yes,Yes,Yes,cosine+llm
3,9.0,206.0,5.6588218741857625,75.0,2.9362292209479945,17585.686576,84.903187,372.787004,82.285,0.061,278.413682,Yes,Yes,Yes,Yes,Yes,cosine+llm
3,10.0,206.0,5.6588218741857625,75.0,2.9362292209479945,17585.686576,84.903187,372.787004,82.285,0.061,278.413682,Yes,Yes,Yes,Yes,Yes,cosine+llm
4,1.0,389.0,6.459595923581313,75.0,7.155027853402381,19007.901427,85.578683,327.087662,85.045,0.073,148.306221,Yes,Yes,Yes,Yes,Yes,cosine+llm
4,2.0,389.0,6.459595923581313,75.0,7.155027853402381,28907.011345,89.220064,159.954165,86.04,0.198,167.556691,Yes,Yes,Yes,Yes,Yes,cosine+llm
4,3.0,389.0,6.459595923581313,75.0,7.155027853402381,28907.011345,89.220064,159.954165,86.04,0.198,167.556691,Yes,Yes,Yes,Yes,Yes,cosine+llm
4,4.0,389.0,6.459595923581313,75.0,7.155027853402381,20342.580781,86.168121,294.265585,83.305,0.085,149.096711,Yes,Yes,Yes,Yes,Yes,cosine+llm
4,5.0,389.0,6.459595923581313,75.0,7.155027853402381,28907.011345,89.220064,159.954165,86.04,0.198,167.556691,Yes,Yes,Yes,Yes,Yes,cosine+llm
4,6.0,389.0,6.459595923581313,75.0,7.155027853402381,28907.011345,89.220064,159.954165,86.04,0.198,167.556691,Yes,Yes,Yes,Yes,Yes,cosine+llm
4,7.0,389.0,6.459595923581313,75.0,7.155027853402381,17585.686576,84.903187,372.787004,82.285,0.061,149.263711,Yes,Yes,Yes,Yes,Yes,cosine+llm
4,8.0,389.0,6.459595923581313,75.0,7.155027853402381,28907.011345,89.220064,159.954165,86.04,0.198,167.556691,Yes,Yes,Yes,Yes,Yes,cosine+llm
