spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass,scalarization
1,1.0,327.88535969157675,1.6002581253440062,75.0,2.3097863076733454,18308.823928,85.253209,347.864464,83.665,0.067,272.305848,Yes,Yes,Yes,Yes,Yes,nw
1,2.0,327.88535969157675,1.6002581253440062,75.0,2.3097863076733454,14678.590354,83.333687,500.0,82.475,0.039,356.299822,Yes,Yes,Yes,Yes,Yes,nw
1,3.0,327.88535969157675,1.6002581253440062,75.0,2.3097863076733454,28907.011345,89.220064,159.954165,86.04,0.198,187.178651,Yes,Yes,Yes,Yes,Yes,nw
1,4.0,327.88535969157675,1.6002581253440062,75.0,2.3097863076733454,1897.366596,65.563025,500.0,75.46,0.01,317.238074,Yes,Yes,Yes,Yes,Yes,nw
1,5.0,327.88535969157675,1.6002581253440062,75.0,2.3097863076733454,13492.384683,82.601774,500.0,80.635,0.031,352.661007,Yes,Yes,Yes,Yes,Yes,nw
1,6.0,327.88535969157675,1.6002581253440062,75.0,2.3097863076733454,17829.561314,85.022813,363.939625,82.745,0.063,280.878991,Yes,Yes,Yes,Yes,Yes,nw
1,7.0,327.88535969157675,1.6002581253440062,75.0,2.3097863076733454,4532.59798,73.126944,500.0,76.735,0.01,325.292125,Yes,Yes,Yes,Yes,Yes,nw
1,8.0,327.88535969157675,1.6002581253440062,75.0,2.3097863076733454,27620.200015,88.824536,176.53643,81.835,0.171,193.571941,Yes,Yes,Yes,Yes,Yes,nw
1,9.0,327.88535969157675,1.6002581253440062,75.0,2.3097863076733454,11528.097252,81.235153,500.0,82.375,0.023,346.696895,Yes,Yes,Yes,Yes,Yes,nw
1,10.0,327.88535969157675,1.6002581253440062,75.0,2.3097863076733454,13181.955479,82.399597,500.0,84.675,0.029,351.768978,Yes,Yes,Yes,Yes,Yes,nw
2,1.0,347.29424283280247,17.24078769814987,75.0,0.96069444303122,16579.370018,84.39136,415.15808,80.445,0.053,70.83611,Yes,Yes,Yes,Yes,Yes,nw
2,2.0,347.29424283280247,17.24078769814987,75.0,0.96069444303122,15242.251608,83.660983,492.254931,78.145,0.043,71.437521,Yes,Yes,Yes,Yes,Yes,nw
2,3.0,347.29424283280247,17.24078769814987,75.0,0.96069444303122,28907.011345,89.220064,159.954165,86.04,0.198,91.453687,Yes,Yes,Yes,Yes,Yes,nw
2,4.0,347.29424283280247,17.24078769814987,75.0,0.96069444303122,3788.649638,71.569689,500.0,76.38,0.01,38.918034,Yes,Yes,Yes,Yes,Yes,nw
2,5.0,347.29424283280247,17.24078769814987,75.0,0.96069444303122,13492.384683,82.601774,500.0,80.635,0.031,66.89387,Yes,Yes,Yes,Yes,Yes,nw
2,6.0,347.29424283280247,17.24078769814987,75.0,0.96069444303122,17338.845132,84.780403,382.254409,81.825,0.059,71.126621,Yes,Yes,Yes,Yes,Yes,nw
2,7.0,347.29424283280247,17.24078769814987,75.0,0.96069444303122,2935.944356,69.354956,500.0,75.815,0.01,36.455219,Yes,Yes,Yes,Yes,Yes,nw
2,8.0,347.29424283280247,17.24078769814987,75.0,0.96069444303122,27289.892774,88.720037,180.895896,86.06,0.166,88.045589,Yes,Yes,Yes,Yes,Yes,nw
2,9.0,347.29424283280247,17.24078769814987,75.0,0.96069444303122,10809.612863,80.676203,500.0,81.455,0.019,59.192514,Yes,Yes,Yes,Yes,Yes,nw
2,10.0,347.29424283280247,17.24078769814987,75.0,0.96069444303122,13492.384683,82.601774,500.0,80.635,0.031,66.89387,Yes,Yes,Yes,Yes,Yes,nw
3,1.0,284.3843639370541,1.7151332665136882,75.0,5.103017352223288,16055.972695,84.112732,441.88309,79.525,0.049,313.147194,Yes,Yes,Yes,Yes,Yes,nw
3,2.0,284.3843639370541,1.7151332665136882,75.0,5.103017352223288,14678.590354,83.333687,500.0,82.475,0.039,342.229882,Yes,Yes,Yes,Yes,Yes,nw
3,3.0,284.3843639370541,1.7151332665136882,75.0,5.103017352223288,28907.011345,89.220064,159.954165,86.04,0.198,194.016569,Yes,Yes,Yes,Yes,Yes,nw
3,4.0,284.3843639370541,1.7151332665136882,75.0,5.103017352223288,3788.649638,71.569689,500.0,76.38,0.01,303.861262,Yes,Yes,Yes,Yes,Yes,nw
3,5.0,284.3843639370541,1.7151332665136882,75.0,5.103017352223288,13492.384683,82.601774,500.0,80.635,0.031,338.035781,Yes,Yes,Yes,Yes,Yes,nw
3,6.0,284.3843639370541,1.7151332665136882,75.0,5.103017352223288,17338.845132,84.780403,382.254409,81.825,0.059,282.920743,Yes,Yes,Yes,Yes,Yes,nw
3,7.0,284.3843639370541,1.7151332665136882,75.0,5.103017352223288,3788.649638,71.569689,500.0,76.275,0.01,303.859862,Yes,Yes,Yes,Yes,Yes,nw
3,8.0,284.3843639370541,1.7151332665136882,75.0,5.103017352223288,27784.014784,88.8759,177.50376,82.19,0.172,200.253667,Yes,Yes,Yes,Yes,Yes,nw
3,9.0,284.3843639370541,1.7151332665136882,75.0,5.103017352223288,11173.542101,80.963817,500.0,81.915,0.019,329.901296,Yes,Yes,Yes,Yes,Yes,nw
3,10.0,284.3843639370541,1.7151332665136882,75.0,5.103017352223288,13492.384683,82.601774,500.0,80.635,0.031,338.035781,Yes,Yes,Yes,Yes,Yes,nw
4,1.0,205.30719393677273,5.772103616479564,75.0,5.4949206579718455,18070.574171,85.139439,355.650108,83.205,0.065,148.730155,Yes,Yes,Yes,Yes,Yes,nw
4,2.0,205.30719393677273,5.772103616479564,75.0,5.4949206579718455,15242.251608,83.660983,492.254931,78.145,0.043,158.557025,Yes,Yes,Yes,Yes,Yes,nw
4,3.0,205.30719393677273,5.772103616479564,75.0,5.4949206579718455,28907.011345,89.220064,159.954165,86.04,0.198,167.621579,Yes,Yes,Yes,Yes,Yes,nw
4,4.0,205.30719393677273,5.772103616479564,75.0,5.4949206579718455,1897.366596,65.563025,500.0,75.46,0.01,94.869443,Yes,Yes,Yes,Yes,Yes,nw
4,5.0,205.30719393677273,5.772103616479564,75.0,5.4949206579718455,13492.384683,82.601774,500.0,80.635,0.031,151.411055,Yes,Yes,Yes,Yes,Yes,nw
4,6.0,205.30719393677273,5.772103616479564,75.0,5.4949206579718455,16579.370018,84.39136,415.15808,80.445,0.053,151.741838,Yes,Yes,Yes,Yes,Yes,nw
4,7.0,205.30719393677273,5.772103616479564,75.0,5.4949206579718455,3788.649638,71.569689,500.0,76.275,0.01,104.092277,Yes,Yes,Yes,Yes,Yes,nw
4,8.0,205.30719393677273,5.772103616479564,75.0,5.4949206579718455,27946.956075,88.92669,176.414553,82.65,0.174,165.756272,Yes,Yes,Yes,Yes,Yes,nw
4,9.0,205.30719393677273,5.772103616479564,75.0,5.4949206579718455,11873.972991,81.491921,500.0,82.835,0.023,143.558966,Yes,Yes,Yes,Yes,Yes,nw
4,10.0,205.30719393677273,5.772103616479564,75.0,5.4949206579718455,12865.313413,82.188407,500.0,84.215,0.027,148.405209,Yes,Yes,Yes,Yes,Yes,nw
5,1.0,244.08812440813932,15.14237641302181,75.0,0.16433772081280407,17088.92558,84.654295,392.413802,81.365,0.057,94.664256,Yes,Yes,Yes,Yes,Yes,nw
5,2.0,244.08812440813932,15.14237641302181,75.0,0.16433772081280407,14962.673023,83.500184,500.0,77.685,0.041,93.106521,Yes,Yes,Yes,Yes,Yes,nw
5,3.0,244.08812440813932,15.14237641302181,75.0,0.16433772081280407,28907.011345,89.220064,159.954165,86.04,0.198,126.934296,Yes,Yes,Yes,No,No,nw
5,4.0,244.08812440813932,15.14237641302181,75.0,0.16433772081280407,2935.944356,69.354956,500.0,75.92,0.01,43.999547,Yes,Yes,Yes,Yes,Yes,nw
5,5.0,244.08812440813932,15.14237641302181,75.0,0.16433772081280407,13492.384683,82.601774,500.0,80.635,0.031,87.183108,Yes,Yes,Yes,Yes,Yes,nw
5,6.0,244.08812440813932,15.14237641302181,75.0,0.16433772081280407,16319.472607,84.254122,427.956923,79.985,0.051,93.877271,Yes,Yes,Yes,Yes,Yes,nw
5,7.0,244.08812440813932,15.14237641302181,75.0,0.16433772081280407,1897.366596,65.563025,500.0,75.46,0.01,39.738484,Yes,Yes,Yes,Yes,Yes,nw
5,8.0,244.08812440813932,15.14237641302181,75.0,0.16433772081280407,27123.370678,88.666873,179.876756,85.705,0.165,121.138956,Yes,Yes,Yes,No,No,nw
5,9.0,244.08812440813932,15.14237641302181,75.0,0.16433772081280407,11528.097252,81.235153,500.0,82.375,0.021,79.219707,Yes,Yes,Yes,Yes,Yes,nw
5,10.0,244.08812440813932,15.14237641302181,75.0,0.16433772081280407,13181.955479,82.399597,500.0,84.675,0.029,85.977353,Yes,Yes,Yes,Yes,Yes,nw
6,1.0,361.1638503665616,17.755345479717445,75.0,1.6392470481366377,16055.972695,84.112732,441.88309,79.525,0.049,68.37397,Yes,Yes,Yes,Yes,Yes,nw
6,2.0,361.1638503665616,17.755345479717445,75.0,1.6392470481366377,14678.590354,83.333687,500.0,82.475,0.039,67.878877,Yes,Yes,Yes,Yes,Yes,nw
6,3.0,361.1638503665616,17.755345479717445,75.0,1.6392470481366377,28907.011345,89.220064,159.954165,86.04,0.198,88.073698,Yes,Yes,Yes,Yes,Yes,nw
6,4.0,361.1638503665616,17.755345479717445,75.0,1.6392470481366377,3788.649638,71.569689,500.0,76.38,0.01,37.662946,Yes,Yes,Yes,Yes,Yes,nw
6,5.0,361.1638503665616,17.755345479717445,75.0,1.6392470481366377,13181.955479,82.399597,500.0,84.675,0.029,63.770389,Yes,Yes,Yes,Yes,Yes,nw
6,6.0,361.1638503665616,17.755345479717445,75.0,1.6392470481366377,16835.809345,84.52468,403.348971,80.905,0.055,68.377659,Yes,Yes,Yes,Yes,Yes,nw
