spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,scalarized_value,preference,evaluation_method,target_reached
1,1.0,363.0,7.79196887859892,75.0,9.491931969776534,500.235553,53.983491,12.524299,82.5064,9.119169,1.1247505874828636,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
1,2.0,363.0,7.79196887859892,75.0,9.491931969776534,590.662529,55.426788,11.896517,80.808,8.702035,1.3145937180515177,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
1,3.0,363.0,7.79196887859892,75.0,9.491931969776534,566.290754,55.060789,11.268734,87.1096,8.284902,1.294853278842119,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
1,4.0,363.0,7.79196887859892,75.0,9.491931969776534,541.918979,54.678687,10.640952,85.4112,7.867768,1.1684464066559517,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
1,5.0,363.0,7.79196887859892,75.0,9.491931969776534,517.547205,54.278999,12.970222,83.7128,7.450635,1.4215394075612655,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
1,6.0,363.0,7.79196887859892,75.0,9.491931969776534,493.17543,53.860029,12.34244,82.0144,8.998332,1.0881324213565553,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
1,7.0,363.0,7.79196887859892,75.0,9.491931969776534,583.602405,55.322341,11.714658,80.316,8.581198,1.2779755491703884,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
1,8.0,363.0,7.79196887859892,75.0,9.491931969776534,559.230631,54.951819,11.086876,86.6176,8.164065,1.2582352410530786,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
1,9.0,363.0,7.79196887859892,75.0,9.491931969776534,534.858856,54.564784,10.459094,84.9192,7.746931,1.1318283688669113,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
1,10.0,363.0,7.79196887859892,75.0,9.491931969776534,510.487082,54.159695,12.788364,83.2208,9.294628,1.1779213611063124,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
2,1.0,228.0,3.4126265941789784,75.0,4.039952736462988,371.297487,51.39444,5.215723,80.8416,3.707269,1.3170944713626271,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
2,2.0,228.0,3.4126265941789784,75.0,4.039952736462988,355.989596,51.028746,4.940775,87.1432,3.529729,1.2973541369142974,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
2,3.0,228.0,3.4126265941789784,75.0,4.039952736462988,340.681704,50.646976,4.665827,85.4448,3.352189,1.1709471314133364,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
2,4.0,228.0,3.4126265941789784,75.0,4.039952736462988,325.373813,50.247652,5.685971,83.7464,3.174649,1.4240401911046048,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
2,5.0,228.0,3.4126265941789784,75.0,4.039952736462988,310.065921,49.829081,5.411023,82.048,3.833379,1.090633239180468,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
2,6.0,228.0,3.4126265941789784,75.0,4.039952736462988,366.86303,51.290079,5.136075,80.3496,3.655839,1.280476238065471,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
2,7.0,228.0,3.4126265941789784,75.0,4.039952736462988,351.555138,50.919869,4.861127,86.6512,3.478299,1.2607358992311766,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
2,8.0,228.0,3.4126265941789784,75.0,4.039952736462988,336.247247,50.533175,4.586179,84.9528,3.300759,1.13432889811618,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
2,9.0,228.0,3.4126265941789784,75.0,4.039952736462988,320.939355,50.12846,5.606323,83.2544,3.959489,1.1804220069983082,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
2,10.0,228.0,3.4126265941789784,75.0,4.039952736462988,305.631464,49.703961,5.331375,81.556,3.781948,1.0540152534109604,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
3,1.0,206.0,5.6588218741857625,75.0,2.9362292209479945,321.913342,50.15478,8.201819,87.1768,2.567953,1.2998546653895482,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
3,2.0,206.0,5.6588218741857625,75.0,2.9362292209479945,308.082527,49.773341,7.7459,85.4784,2.438917,1.1734477834889925,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
3,3.0,206.0,5.6588218741857625,75.0,2.9362292209479945,294.251713,49.37438,9.437504,83.78,2.309881,1.426540923892816,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
3,4.0,206.0,5.6588218741857625,75.0,2.9362292209479945,280.420899,48.956208,8.981585,82.0816,2.788645,1.0931338591011486,,"[0.0, 0.0, 0.0, 1.0]",strict,Yes
3,5.0,206.0,5.6588218741857625,75.0,2.9362292209479945,331.737585,50.415894,8.525666,80.3832,2.659609,1.282976982054961,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
3,6.0,206.0,5.6588218741857625,75.0,2.9362292209479945,317.90677,50.045996,8.069747,86.6848,2.530573,1.2632367668210718,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
3,7.0,206.0,5.6588218741857625,75.0,2.9362292209479945,304.075956,49.659642,7.613828,84.9864,2.401537,1.1368298897748847,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
3,8.0,206.0,5.6588218741857625,75.0,2.9362292209479945,290.245142,49.255299,9.305431,83.288,2.880301,1.1829226657179996,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
3,9.0,206.0,5.6588218741857625,75.0,2.9362292209479945,276.414328,48.831211,8.849512,81.5896,2.751265,1.0565157886718126,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
3,10.0,206.0,5.6588218741857625,75.0,2.9362292209479945,327.731013,50.310351,8.393593,87.8912,2.622229,1.353025573437923,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
4,1.0,389.0,6.459595923581313,75.0,7.155027853402381,582.28418,55.3027,8.852311,85.512,5.949393,1.1759487683272258,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
4,2.0,389.0,6.459595923581313,75.0,7.155027853402381,556.166769,54.904101,10.783292,83.8136,5.634958,1.42904174721419,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
4,3.0,389.0,6.459595923581313,75.0,7.155027853402381,530.049358,54.486326,10.262856,82.1152,6.801613,1.0956347793917536,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
4,4.0,389.0,6.459595923581313,75.0,7.155027853402381,536.928706,54.598332,9.261452,71.9605,6.991933,0.7962982054389683,,"[0.0, 0.0, 0.0, 1.0]",strict,No
4,5.0,389.0,6.459595923581313,75.0,7.155027853402381,600.835785,55.575116,9.221984,86.7184,6.172742,1.265737433586178,,"[0.5, 0.5, 0.0, 0.0]",strict,Yes
4,6.0,389.0,6.459595923581313,75.0,7.155027853402381,401.348999,52.070444,8.636929,81.1672,6.677498,0.5177848402092164,,"[0.5, 0.0, 0.5, 0.0]",strict,Yes
4,7.0,389.0,6.459595923581313,75.0,7.155027853402381,548.600962,54.785131,10.632529,83.3216,7.024962,1.185423442080012,,"[0.5, 0.0, 0.0, 0.5]",strict,Yes
4,8.0,389.0,6.459595923581313,75.0,7.155027853402381,522.483551,54.361452,10.112094,81.6232,6.710526,1.0590166618186128,,"[0.0, 0.5, 0.5, 0.0]",strict,Yes
4,9.0,389.0,6.459595923581313,75.0,7.155027853402381,619.38739,55.839247,9.591658,87.9248,6.39609,1.3555263934154351,,"[0.0, 0.5, 0.0, 0.5]",strict,Yes
4,10.0,389.0,6.459595923581313,75.0,7.155027853402381,516.718775,54.265085,6.999641,82.072,6.789172,0.5573554660699235,,"[0.0, 0.0, 0.5, 0.5]",strict,Yes
5,1.0,270.0,5.30659704844968,75.0,7.694389006590671,386.386976,51.74045,8.866997,83.8472,6.066422,1.4315424457911312,,"[1.0, 0.0, 0.0, 0.0]",strict,Yes
5,2.0,270.0,5.30659704844968,75.0,7.694389006590671,368.25921,51.323072,8.439456,82.1488,7.321023,1.098135397720555,,"[0.0, 1.0, 0.0, 0.0]",strict,Yes
5,3.0,270.0,5.30659704844968,75.0,7.694389006590671,435.518944,52.780141,8.011915,80.4504,6.982884,1.2879785414307343,,"[0.0, 0.0, 1.0, 0.0]",strict,Yes
