spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass,target_reached
956,1.0,223.0,18.0239711807019,75.0,5.523279116459226,325.960773,50.263307,30.779753,84.6224,4.46546,1.489238358189933,Yes,Yes,Yes,Yes,Yes,Yes
896,8.0,311.0,7.246954507357681,75.0,6.62321151267958,454.581197,53.152229,12.375437,84.6216,5.354596,1.4891788837941955,Yes,Yes,Yes,Yes,Yes,Yes
828,4.0,205.0,5.5864823376138615,75.0,4.46281001459901,299.643554,49.532099,9.539891,84.6216,3.608,1.4891786960758573,Yes,Yes,Yes,Yes,Yes,Yes
632,3.0,321.0,22.579044014938564,75.0,7.435097026531796,469.187804,53.426934,38.556792,84.6208,6.010819,1.489119199718526,Yes,Yes,Yes,Yes,Yes,Yes
700,7.0,309.0,4.9729399778574095,75.0,3.1305394117049863,451.648073,53.096003,8.491972,84.6208,2.530849,1.4891190846605205,Yes,Yes,Yes,Yes,Yes,Yes
572,10.0,211.0,13.57510103201516,75.0,6.122604440676772,308.400264,49.782295,23.180818,84.62,4.949622,1.4890597531685072,Yes,Yes,Yes,Yes,Yes,Yes
504,6.0,304.0,14.591706274273031,75.0,8.444181029252931,444.330238,52.954117,24.916771,84.62,6.826426,1.489059696048628,Yes,Yes,Yes,Yes,Yes,Yes
436,2.0,276.0,14.160554417160652,75.0,5.769871477249066,403.405085,52.114827,24.180537,84.62,4.664467,1.4890596433347296,Yes,Yes,Yes,Yes,Yes,Yes
240,1.0,279.0,20.020467373142875,75.0,0.358023380912005,407.781099,52.208542,34.186154,84.6192,0.289425,1.489000311953114,Yes,Yes,Yes,Yes,Yes,Yes
308,5.0,337.0,7.167282029518296,75.0,4.923280189386642,492.552797,53.849056,12.238566,84.6192,3.979965,1.4890002516193772,Yes,Yes,Yes,Yes,Yes,Yes
376,9.0,372.0,3.93183325809433,75.0,9.854233391397315,543.708132,54.707317,6.713842,84.6192,7.966134,1.4890000731110542,Yes,Yes,Yes,Yes,Yes,Yes
112,4.0,214.0,17.64816817560238,75.0,6.965261982264119,312.771566,49.904545,30.134641,84.6184,5.630553,1.4889406817006423,Yes,Yes,Yes,Yes,Yes,Yes
180,8.0,316.0,8.722656405496899,75.0,5.546196830820599,461.849603,53.290011,14.89413,84.6184,4.483415,1.4889405052446945,Yes,Yes,Yes,Yes,Yes,Yes
805,3.0,394.0,8.980446600927635,75.0,4.834625608615585,575.725851,55.204315,15.330905,84.6104,3.907196,1.4883453169849954,Yes,Yes,Yes,Yes,Yes,Yes
873,7.0,230.0,19.7514872738432,75.0,0.2759143756044565,336.083619,50.528947,33.718609,84.6104,0.222986,1.4883435667014648,Yes,Yes,Yes,Yes,Yes,Yes
677,6.0,308.0,9.68387431232283,75.0,1.6685076620192316,450.050062,53.065217,16.531389,84.6096,1.348402,1.4882858487029766,Yes,Yes,Yes,Yes,Yes,Yes
609,2.0,373.0,2.348130885113873,75.0,1.485302134906528,545.02816,54.728379,4.008506,84.6096,1.200345,1.4882858050287386,Yes,Yes,Yes,Yes,Yes,Yes
745,10.0,252.0,6.658673772722383,75.0,6.2656979903264345,368.222778,51.322213,11.367054,84.6096,5.063616,1.4882855559521686,Yes,Yes,Yes,Yes,Yes,Yes
481,5.0,376.0,16.76167127171565,75.0,7.878881740065808,549.399873,54.797771,28.613294,84.6088,6.367145,1.4882260881540452,Yes,Yes,Yes,Yes,Yes,Yes
413,1.0,225.0,19.672408943540862,75.0,3.936518458502919,328.763222,50.337665,33.582118,84.6088,3.181211,1.4882260475811415,Yes,Yes,Yes,Yes,Yes,Yes
549,9.0,337.0,21.00050085807708,75.0,3.508065138152128,492.414248,53.846612,35.84926,84.6088,2.834966,1.4882260177602311,Yes,Yes,Yes,Yes,Yes,Yes
285,4.0,248.0,16.278829072141406,75.0,6.179934199858437,362.362286,51.18286,27.788432,84.608,4.99405,1.4881665264195838,Yes,Yes,Yes,Yes,Yes,Yes
353,8.0,275.0,17.09166925240411,75.0,1.7467505846698932,401.813019,52.08048,29.175974,84.608,1.411562,1.4881664968756112,Yes,Yes,Yes,Yes,Yes,Yes
157,7.0,216.0,14.230361845131272,75.0,3.647045714779822,315.599031,49.982713,24.2911,84.6072,2.947129,1.4881069907647857,Yes,Yes,Yes,Yes,Yes,Yes
89,3.0,268.0,3.191845279143645,75.0,8.782213258031252,391.576576,51.856334,5.448451,84.6072,7.096789,1.4881069583713618,Yes,Yes,Yes,Yes,Yes,Yes
29,10.0,379.0,14.508150330029542,75.0,0.6447833348957562,553.747425,54.866234,24.764731,84.6064,0.521027,1.4880481123273075,Yes,Yes,Yes,Yes,Yes,Yes
978,3.0,278.0,2.091083278992208,75.0,8.949273413641409,406.108516,52.172842,3.568746,84.6,7.230121,1.4875710525477803,Yes,Yes,Yes,Yes,Yes,Yes
918,10.0,318.0,16.30480054153639,75.0,0.5603535829007814,464.531339,53.3403,27.82596,84.5992,0.452698,1.4875120084599691,Yes,Yes,Yes,Yes,Yes,Yes
782,2.0,232.0,15.755429986622817,75.0,8.753990446705375,338.903367,50.601518,26.888398,84.5992,7.07217,1.4875116424931865,Yes,Yes,Yes,Yes,Yes,Yes
850,6.0,241.0,8.709074277150256,75.0,6.167848711760376,352.05048,50.932099,14.863006,84.5992,4.982879,1.487511594862024,Yes,Yes,Yes,Yes,Yes,Yes
722,9.0,273.0,20.60538974994976,75.0,1.3193036193345131,398.787139,52.014823,35.164613,84.5984,1.065811,1.4874521904175255,Yes,Yes,Yes,Yes,Yes,Yes
654,5.0,321.0,16.75753807385147,75.0,1.2861777781563075,468.903559,53.421671,28.597971,84.5984,1.03905,1.4874521814646275,Yes,Yes,Yes,Yes,Yes,Yes
586,1.0,217.0,6.670452374721383,75.0,9.994350860694937,316.984649,50.020765,11.383618,84.5984,8.074025,1.4874521586686833,Yes,Yes,Yes,Yes,Yes,Yes
526,8.0,209.0,7.556004264754467,75.0,4.093512896023194,305.291969,49.694308,12.89459,84.5976,3.306896,1.487392510351233,Yes,Yes,Yes,Yes,Yes,Yes
458,4.0,264.0,4.663334194449371,75.0,1.5639946822648525,385.631961,51.72346,7.958146,84.5976,1.263455,1.4873923396598805,Yes,Yes,Yes,Yes,Yes,Yes
262,3.0,361.0,21.28729420342237,75.0,9.916265017298512,527.311076,54.441338,36.326718,84.5968,8.010532,1.487333048568501,Yes,Yes,Yes,Yes,Yes,Yes
330,7.0,323.0,15.029442199651983,75.0,6.152673409036272,471.804647,53.475244,25.647708,84.5968,4.970237,1.4873330394468247,Yes,Yes,Yes,Yes,Yes,Yes
202,10.0,335.0,11.966273787381812,75.0,8.10798336403328,489.322398,53.791902,20.419964,84.596,6.549603,1.4872734451511498,Yes,Yes,Yes,Yes,Yes,Yes
134,6.0,343.0,23.264146260266745,75.0,5.103734862221682,501.007709,53.996888,39.699328,84.596,4.122781,1.4872733784481886,Yes,Yes,Yes,Yes,Yes,Yes
66,2.0,292.0,23.40804300269232,75.0,0.22165192306831,426.513852,52.598663,39.944882,84.596,0.17905,1.4872721521203145,Yes,Yes,Yes,Yes,Yes,Yes
6,9.0,262.0,1.339560814145532,75.0,4.293394828199784,382.685649,51.656844,2.285856,84.5952,3.468102,1.4872140526788475,Yes,Yes,Yes,Yes,Yes,Yes
955,2.0,204.0,8.743858027709335,75.0,8.446436869686794,297.917367,49.481916,14.918055,84.5888,6.821431,1.4867375924097908,Yes,Yes,Yes,Yes,Yes,Yes
827,5.0,251.0,19.07898205165276,75.0,8.887179887829081,366.547254,51.282599,32.550274,84.588,7.177196,1.4866780316119714,Yes,Yes,Yes,Yes,Yes,Yes
