spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass,scalarization
1,1.0,363.0,7.79196887859892,75.0,9.491931969776534,17088.92558,84.654295,392.413802,81.365,0.057,296.505133,Yes,Yes,Yes,Yes,Yes,cosine+llm
2,5.0,228.0,3.4126265941789784,75.0,4.039952736462988,28907.011345,89.220064,159.954165,86.04,0.198,91.298127,Yes,Yes,Yes,Yes,Yes,cosine+llm
3,4.0,206.0,5.6588218741857625,75.0,2.9362292209479945,16055.972695,84.112732,441.88309,79.525,0.049,313.281663,Yes,Yes,Yes,Yes,Yes,cosine+llm
4,3.0,389.0,6.459595923581313,75.0,7.155027853402381,28907.011345,89.220064,159.954165,86.04,0.198,167.556691,Yes,Yes,Yes,Yes,Yes,cosine+llm
5,3.0,270.0,5.30659704844968,75.0,7.694389006590671,28907.011345,89.220064,159.954165,86.04,0.198,126.807943,Yes,Yes,Yes,Yes,Yes,cosine+llm
6,8.0,262.0,1.339560814145532,75.0,4.293394828199784,28907.011345,89.220064,159.954165,86.04,0.198,88.152008,Yes,Yes,Yes,Yes,Yes,cosine+llm
7,2.0,257.0,13.81924214242392,75.0,4.08254636538055,28907.011345,89.220064,159.954165,86.04,0.198,90.650049,Yes,Yes,Yes,Yes,Yes,cosine+llm
8,3.0,235.0,7.583471842798415,75.0,6.441319154292284,28907.011345,89.220064,159.954165,86.04,0.198,87.554337,Yes,Yes,Yes,Yes,Yes,cosine+llm
9,6.0,388.0,24.38307834646571,75.0,5.422788045546904,28907.011345,89.220064,159.954165,86.04,0.196,99.822609,Yes,Yes,Yes,Yes,Yes,cosine+llm
10,8.0,226.0,14.2806152031666,75.0,1.6115363936642595,28907.011345,89.220064,159.954165,86.04,0.198,88.070027,Yes,Yes,Yes,Yes,Yes,cosine+llm
11,10.0,373.0,17.738017429844668,75.0,0.9276110304003818,16579.370018,84.39136,415.15808,80.445,0.053,245.532338,Yes,Yes,Yes,Yes,Yes,cosine+llm
12,2.0,389.0,4.030707831001814,75.0,0.8823134635531639,28907.011345,89.220064,159.954165,86.04,0.198,157.433555,Yes,Yes,Yes,Yes,Yes,cosine+llm
13,5.0,339.0,21.843068734310656,75.0,9.217156101850083,28907.011345,89.220064,159.954165,86.04,0.198,103.878131,Yes,Yes,Yes,Yes,Yes,cosine+llm
14,3.0,222.0,12.781088668570693,75.0,9.745702505110163,28907.011345,89.220064,159.954165,86.04,0.198,119.941812,Yes,Yes,Yes,Yes,Yes,cosine+llm
15,6.0,351.0,21.94527363996483,75.0,1.6382335991431975,28907.011345,89.220064,159.954165,86.04,0.198,131.335097,Yes,Yes,Yes,Yes,Yes,cosine+llm
16,3.0,308.0,14.777541271031971,75.0,3.334827933223857,28907.011345,89.220064,159.954165,86.04,0.198,81.518096,Yes,Yes,Yes,Yes,Yes,cosine+llm
17,5.0,208.0,12.265526678332243,75.0,5.9057279138230765,28907.011345,89.220064,159.954165,86.04,0.198,85.393773,Yes,Yes,Yes,Yes,Yes,cosine+llm
18,2.0,207.0,11.571251155264246,75.0,7.655918898148926,28907.011345,89.220064,159.954165,86.04,0.198,130.691293,Yes,Yes,Yes,Yes,Yes,cosine+llm
