spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass,scalarization
880,4.0,369.0,15.52227589251485,75.0,6.411627411957978,17088.92558,84.654295,392.413802,81.365,0.057,444.982791,Yes,Yes,Yes,Yes,Yes,cosine+llm
951,7.0,365.0,2.3299084004266497,75.0,1.4679820558889216,16579.370018,84.39136,415.15808,80.445,0.053,443.264752,Yes,Yes,Yes,Yes,Yes,cosine+llm
556,7.0,267.0,21.6906403266896,75.0,8.55283113319691,16579.370018,84.39136,415.15808,80.445,0.053,443.194504,Yes,Yes,Yes,Yes,Yes,cosine+llm
284,4.0,304.0,9.455702940047598,75.0,3.384166536384614,16579.370018,84.39136,415.15808,80.445,0.053,422.893292,Yes,Yes,Yes,Yes,Yes,cosine+llm
829,9.0,359.0,9.56738022484872,75.0,0.7270268603411865,16579.370018,84.39136,415.15808,80.445,0.053,422.856077,Yes,Yes,Yes,Yes,Yes,cosine+llm
68,7.0,249.0,14.069497089053888,75.0,3.703367313679284,16055.972695,84.112732,441.88309,79.525,0.049,419.494799,Yes,Yes,Yes,Yes,Yes,cosine+llm
539,7.0,284.0,6.069615501287495,75.0,4.695762791490191,16579.370018,84.39136,415.15808,80.445,0.053,416.122851,Yes,Yes,Yes,Yes,Yes,cosine+llm
491,1.0,210.0,20.64224462897607,75.0,6.220620437157804,17585.686576,84.903187,372.787004,82.285,0.061,415.352839,Yes,Yes,Yes,Yes,Yes,cosine+llm
160,9.0,352.0,13.197781398229456,75.0,4.687131291058499,16055.972695,84.112732,441.88309,79.525,0.049,396.96626,Yes,Yes,Yes,Yes,Yes,cosine+llm
707,4.0,266.0,18.96487643429048,75.0,4.393285777352326,16579.370018,84.39136,415.15808,80.445,0.053,394.258381,Yes,Yes,Yes,Yes,Yes,cosine+llm
summary,,,,,,,,,,,,,,,,pass=10/10; avg_fom=421.938655; min_fom=394.258381; max_fom=444.982791; top20_avg=421.938655; seed=42,
