spec,solution,target_gain_linear,target_ugbw_mhz,target_pm_deg,target_ibias_ma,output_gain_linear,output_gain_db,output_ugbw_mhz,output_pm_deg,output_ibias_ma,fom,gain_pass,ugbw_pass,pm_pass,ibias_pass,complete_pass,scalarization
880,5.0,311.4262022809666,1.0040731714800746,75.0,6.081612433011796,13181.955479,82.399597,500.0,84.675,0.029,539.423609,Yes,Yes,Yes,Yes,Yes,nw
491,2.0,244.5380431932533,1.0833590786777867,75.0,3.05379358815952,14678.590354,83.333687,500.0,82.475,0.039,520.640184,Yes,Yes,Yes,Yes,Yes,nw
556,2.0,221.31018354225225,1.1246853368807228,75.0,3.663183223734277,14962.673023,83.500184,500.0,77.685,0.041,511.202908,Yes,Yes,Yes,Yes,Yes,nw
951,2.0,224.6470317866998,1.120716137776123,75.0,5.417805280689164,14678.590354,83.333687,500.0,82.475,0.039,510.576454,Yes,Yes,Yes,Yes,Yes,nw
284,2.0,267.96493135545165,1.1465389456878086,75.0,5.7065788381376255,14678.590354,83.333687,500.0,82.475,0.039,489.965946,Yes,Yes,Yes,Yes,Yes,nw
829,10.0,326.89979383053424,1.1131240341758524,75.0,7.635813484028493,13492.384683,82.601774,500.0,80.635,0.031,489.531077,Yes,Yes,Yes,Yes,Yes,nw
121,10.0,276.0762057855424,1.1415060060158335,75.0,7.559403738087921,12865.313413,82.188407,500.0,84.215,0.027,483.737727,Yes,Yes,Yes,Yes,Yes,nw
539,2.0,211.22298782579315,1.2268041436991346,75.0,5.0485980918166415,15242.251608,83.660983,492.254931,78.145,0.043,472.445125,Yes,Yes,Yes,Yes,Yes,nw
68,5.0,330.79526354214653,1.1877545716517908,75.0,3.063849646779781,13492.384683,82.601774,500.0,80.635,0.031,460.815123,Yes,Yes,Yes,Yes,Yes,nw
75,2.0,285.5373837961359,1.2320727906001592,75.0,8.842753293671416,14962.673023,83.500184,500.0,77.685,0.041,457.253143,Yes,Yes,Yes,Yes,Yes,nw
summary,,,,,,,,,,,,,,,,pass=10/10; avg_fom=493.559130; min_fom=457.253143; max_fom=539.423609; top20_avg=493.559130; seed=42,
